attempts,lightA,lightB,timeA,timeB,averages
1,20,30,175,46,110.5
2,10,30,118,49,83.5
3,40,10,69,48,58.5
4,90,80,69,90,79.5
5,20,40,69,48,58.5
6,12,12,69,48,58.5
7,50,10,128,50,89.0
8,40,20,87,48,67.5
9,50,20,82,64,73.0
10,2,2,70,-166917,-83423.5
11,5,5,74,-167513,-83719.5
12,2,2,71,-168507,-84218.0
13,2,2,69,46,57.5
14,30,20,76,46,61.0
15,30,20,74,48,61.0
16,30,30,73,49,61.0
17,50,30,73,51,62.0
18,30,20,74,49,61.5
19,30,20,76,50,63.0
20,30,20,70,48,59.0
21,30,20,55,64,59.5
22,30,20,56,59,57.5
23,20,30,56,48,52.0
24,10,30,85,39,62.0
25,20,30,110,71,90.5
26,20,30,34,42,38.0
27,30,30,35,54,44.5
28,20,30,35,44,39.5
29,20,30,39,53,46.0
30,20,30,39,86,62.5
31,20,30,67,46,56.5
32,30,30,45,57,51.0
33,20,20,61,47,54.0
34,20,30,38,49,43.5
35,30,40,58,60,59.0
36,20,30,67,48,57.5
37,20,30,63,50,56.5
38,10,10,48,121,84.5
39,20,20,36,53,44.5
40,30,20,39,59,49.0
41,20,10,34,51,42.5
42,20,10,39,49,44.0
43,20,10,37,50,43.5
44,20,10,36,51,43.5
45,5,10,46,34,40.0
46,10,10,33,39,36.0
47,20,10,31,51,41.0
48,20,10,38,51,44.5
49,10,10,34,40,37.0
50,20,15,37,84,60.5
51,10,10,54,33,43.5
52,10,10,52,28,40.0
53,20,10,39,51,45.0
54,20,10,39,51,45.0
55,10,10,0,0,0.0
56,10,10,0,0,0.0
57,10,10,-198020,-198020,-198020.0
58,10,10,-198302,-198302,-198302.0
59,10,10,-198367,-198367,-198367.0
60,3,3,-198506,-198506,-198506.0
61,3,3,-198532,-198532,-198532.0
62,10,10,-198561,-198561,-198561.0
63,10,10,-198884,-198884,-198884.0
64,10,10,-199006,-199006,-199006.0
65,10,10,-199380,-199385,-199382.5
66,10,10,-199476,-199476,-199476.0
67,10,10,-199584,-199584,-199584.0
68,10,10,-199622,-199622,-199622.0
69,10,10,-199692,-199692,-199692.0
70,10,10,-199965,-199965,-199965.0
71,10,10,-200000,-200000,-200000.0
72,10,10,-200019,-200019,-200019.0
73,10,10,-200113,-200113,-200113.0
74,10,10,-200258,-200258,-200258.0
75,10,10,-200324,-200324,-200324.0
76,10,10,-200357,-200357,-200357.0
77,10,10,-200387,-200387,-200387.0
78,10,10,-200509,-200509,-200509.0
79,10,10,-200925,-200925,-200925.0
80,10,10,-200991,-200991,-200991.0
81,10,10,-201015,-201015,-201015.0
82,10,10,-201037,-201037,-201037.0
83,10,10,-201242,-201242,-201242.0
84,10,10,-201375,-201375,-201375.0
85,10,10,-201585,-201585,-201585.0
86,10,10,-201713,-201713,-201713.0
87,10,10,-201740,-201740,-201740.0
88,10,10,-201804,-201804,-201804.0
89,10,10,-201882,-201882,-201882.0
90,10,10,-202261,-202261,-202261.0
91,10,10,-202430,-202430,-202430.0
92,10,10,-202523,-202523,-202523.0
93,10,10,-202791,-202791,-202791.0
94,10,10,-202837,-202837,-202837.0
95,10,10,-202915,-202915,-202915.0
96,10,10,-203007,-203007,-203007.0
97,10,10,-203053,-203053,-203053.0
98,10,10,-203174,-203174,-203174.0
99,10,10,-203313,-203313,-203313.0
100,10,10,-203364,-203364,-203364.0
101,10,10,-203441,-203441,-203441.0
102,10,10,-203466,-203466,-203466.0
103,10,10,-203484,-203484,-203484.0
104,10,10,-203557,-203557,-203557.0
105,10,10,-203776,-203776,-203776.0
106,10,10,-203913,-203913,-203913.0
107,10,10,-203970,-203970,-203970.0
108,10,10,-204030,-204030,-204030.0
109,10,10,-204222,-204222,-204222.0
110,10,10,-204337,-204337,-204337.0
111,10,10,-204384,-204384,-204384.0
112,10,10,-204451,-204451,-204451.0
113,10,10,-204552,-204552,-204552.0
114,10,10,-205914,-205914,-205914.0
115,10,10,-205956,-205956,-205956.0
116,10,10,-205980,-205980,-205980.0
117,10,10,-206011,-206011,-206011.0
118,10,10,-206104,-206104,-206104.0
119,10,10,-206228,-206228,-206228.0
120,10,10,-206339,-206339,-206339.0
121,10,10,-206606,-206606,-206606.0
122,10,10,-206850,-206850,-206850.0
123,10,10,-207109,-207109,-207109.0
124,10,10,-207141,-207141,-207141.0
125,10,10,-207600,-207600,-207600.0
126,10,10,-207691,-207691,-207691.0
127,10,10,-208622,-208622,-208622.0
128,10,10,-208759,-208759,-208759.0
129,10,10,-208915,-208915,-208915.0
130,10,10,-209159,-209159,-209159.0
131,10,10,-209318,-209318,-209318.0
132,10,10,-209381,-209381,-209381.0
133,10,10,-209628,-209628,-209628.0
134,10,10,-210085,-210085,-210085.0
135,10,10,-210187,-210187,-210187.0
136,10,10,-210314,-210314,-210314.0
137,10,10,-210324,-210324,-210324.0
138,10,10,-210701,-210701,-210701.0
139,10,10,-210778,-210778,-210778.0
140,10,10,-210914,-210914,-210914.0
141,10,10,-210950,-210950,-210950.0
142,10,10,-210992,-210992,-210992.0
143,10,10,-211035,-211035,-211035.0
144,10,10,-211059,-211059,-211059.0
145,10,10,-211073,-211073,-211073.0
146,10,10,-211129,-211129,-211129.0
147,10,10,-211313,-211313,-211313.0
148,10,10,-211398,-211398,-211398.0
149,10,10,-211463,-211463,-211463.0
150,10,10,-211552,-211552,-211552.0
151,10,10,-212165,-212165,-212165.0
